1e+16,0.1
1.05e+16,0.2
1.1e+16,0.3
1.15e+16,0.4
1.2e+16,0.5
1.26e+16,0.6
1.32e+16,0.7
1.38e+16,0.8
1.45e+16,0.9
1.52e+16,1
1.59e+16,1.1
1.67e+16,1.2
1.74e+16,1.3
1.83e+16,1.4
1.91e+16,1.5
2e+16,1.6
2.1e+16,1.7
2.2e+16,1.8
2.3e+16,1.9
2.41e+16,2
2.53e+16,2.1
2.65e+16,2.2
2.77e+16,2.3
2.9e+16,2.4
3.04e+16,2.5
3.19e+16,2.6
3.34e+16,2.7
3.5e+16,2.8
3.66e+16,2.9
3.84e+16,3
4.02e+16,3.1
4.21e+16,3.2
4.41e+16,3.3
4.62e+16,3.4
4.84e+16,3.5
5.07e+16,3.6
5.31e+16,3.7
5.56e+16,3.8
5.82e+16,3.9
6.1e+16,4
6.39e+16,4.1
6.69e+16,4.2
7.01e+16,4.3
7.34e+16,4.4
7.69e+16,4.5
8.05e+16,4.6
8.44e+16,4.7
8.84e+16,4.8
9.26e+16,4.9
9.7e+16,5
1.02e+17,5.1
1.06e+17,5.2
1.11e+17,5.3
1.17e+17,5.4
1.22e+17,5.5
1.28e+17,5.6
1.34e+17,5.7
1.4e+17,5.8
1.47e+17,5.9
1.54e+17,6
1.61e+17,6.1
1.69e+17,6.2
1.77e+17,6.3
1.86e+17,6.4
1.94e+17,6.5
2.04e+17,6.6
2.13e+17,6.7
2.23e+17,6.8
2.34e+17,6.9
2.45e+17,7
2.57e+17,7.1
2.69e+17,7.2
2.82e+17,7.3
2.95e+17,7.4
3.09e+17,7.5
3.24e+17,7.6
3.39e+17,7.7
3.55e+17,7.8
3.72e+17,7.9
3.9e+17,8
4.08e+17,8.1
4.27e+17,8.2
4.48e+17,8.3
4.69e+17,8.4
4.91e+17,8.5
5.15e+17,8.6
5.39e+17,8.7
5.65e+17,8.8
5.91e+17,8.9
6.19e+17,9
6.49e+17,9.1
6.8e+17,9.2
7.12e+17,9.3
7.46e+17,9.4
7.81e+17,9.5
8.18e+17,9.6
8.57e+17,9.7
8.97e+17,9.8
9.4e+17,9.9
9.85e+17,10
1.03e+18,10.1
1.08e+18,10.2
1.13e+18,10.3
1.19e+18,10.4
1.24e+18,10.5
1.3e+18,10.6
1.36e+18,10.7
1.43e+18,10.8
1.49e+18,10.9
1.57e+18,11
1.64e+18,11.1
1.72e+18,11.2
1.8e+18,11.3
1.88e+18,11.4
1.97e+18,11.5
2.07e+18,11.6
2.17e+18,11.7
2.27e+18,11.8
2.38e+18,11.9
2.49e+18,12
2.61e+18,12.1
2.73e+18,12.2
2.86e+18,12.3
3e+18,12.4
3.14e+18,12.5
3.29e+18,12.6
3.44e+18,12.7
3.61e+18,12.8
3.78e+18,12.9
3.96e+18,13
4.14e+18,13.1
4.34e+18,13.2
4.55e+18,13.3
4.76e+18,13.4
4.99e+18,13.5
5.23e+18,13.6
5.47e+18,13.7
5.73e+18,13.8
6.01e+18,13.9
6.29e+18,14
6.59e+18,14.1
6.9e+18,14.2
7.23e+18,14.3
7.57e+18,14.4
7.93e+18,14.5
8.31e+18,14.6
8.7e+18,14.7
9.11e+18,14.8
9.55e+18,14.9
1e+19,15
